decimalLatitude,decimalLongitude,bio_2,bio_3,bio_4,bio_15,bio_16,bio_17,bio_18,elevation,presencia,estrategia_pseudo
-11.601333,-76.200035,13.379,78.54752,106.565674,75.824615,473.0,33.0,473.0,4731,1,presencia_real
-10.615089,-76.17954,14.2213335,79.922066,72.361664,58.806732,478.0,70.0,450.0,4167,1,presencia_real
-10.551277,-76.827478,13.396833,80.38422,92.185486,72.28243,407.0,28.0,407.0,4585,1,presencia_real
-12.169845,-75.63094,13.6225,78.94356,67.64738,77.33495,423.0,29.0,423.0,4600,1,presencia_real
-11.577478,-76.35644,13.1519165,77.88651,113.24658,78.05566,475.0,28.0,475.0,4772,1,presencia_real
-12.187926,-75.800095,13.211667,78.11083,88.11,85.67598,426.0,19.0,426.0,4271,1,presencia_real
-11.737766,-76.25577,13.175667,76.42055,123.39739,82.89669,419.0,20.0,419.0,4393,1,presencia_real
-11.164677,-76.018005,13.1796665,77.03803,103.83299,62.821674,425.0,56.0,403.0,4095,1,presencia_real
-12.372423,-75.75166,13.069417,77.5173,95.69094,90.81919,408.0,13.0,408.0,4211,1,presencia_real
-11.755806,-76.045,13.237667,80.18941,90.116196,75.934715,462.0,33.0,462.0,4796,1,presencia_real
-11.467018,-76.06379,13.919833,78.01723,100.91332,65.90814,409.0,49.0,409.0,4314,1,presencia_real
-11.682864,-74.80047,13.451,79.23539,68.608215,58.10795,450.0,79.0,307.0,3061,1,presencia_real
-10.585703,-76.693306,13.45525,80.25798,90.06472,69.998405,415.0,34.0,415.0,4606,1,presencia_real
-11.079071,-76.15207,11.696834,75.40993,105.271034,65.04139,431.0,51.0,431.0,4088,1,presencia_real
-11.42163,-76.34846,13.40175,78.43703,109.49732,75.1491,490.0,35.0,490.0,4735,1,presencia_real
-11.021532,-76.465866,13.7465,79.45495,94.574936,65.485214,436.0,48.0,436.0,4641,1,presencia_real
-12.526282,-75.50572,13.66775,77.43329,86.097725,80.91242,405.0,25.0,405.0,4656,1,presencia_real
-9.530101,-77.52544,14.171333,83.81437,47.578144,85.11905,316.0,8.0,316.0,3406,1,presencia_real
-11.771452,-75.71393,13.718833,77.50315,83.31884,76.5325,368.0,26.0,234.0,3851,1,presencia_real
-11.804026,-76.69918,12.674583,73.4801,142.34387,134.36612,271.0,0.0,271.0,3066,1,presencia_real
-10.299348,-77.00489,13.613833,80.133224,93.35977,79.237976,379.0,17.0,379.0,4461,1,presencia_real
-10.126064,-77.28522,14.297833,79.551735,106.20876,90.854126,328.0,9.0,328.0,4149,1,presencia_real
-11.904979,-76.2343,13.526334,78.92597,108.03527,83.62051,447.0,18.0,447.0,4737,1,presencia_real
-9.074484,-77.644844,12.533167,77.95712,113.67995,70.188644,416.0,31.0,416.0,4745,1,presencia_real
-11.433717,-74.7702,11.98,79.56961,65.06536,46.253677,579.0,162.0,399.0,2234,1,presencia_real
-11.516915,-74.93538,13.09075,79.52585,38.35036,57.92975,474.0,79.0,276.0,4390,1,presencia_real
-8.948708,-77.562485,12.669167,80.7159,92.1956,63.832497,367.0,43.0,367.0,4188,1,presencia_real
-11.097778,-76.323889,14.004833,79.19495,97.03451,65.08501,455.0,53.0,455.0,4460,1,presencia_real
-11.7870881817,-76.3990864111,13.0095,74.31876,131.49428,100.055305,347.0,8.0,347.0,3678,1,presencia_real
-5.007056753943953,-79.00032333099077,11.565499,86.67191,47.661266,41.701714,441.0,146.0,441.0,1039,0,aleatoria
-11.211341159966546,-69.53781084343181,11.215084,68.922585,106.757454,58.393417,659.0,99.0,556.0,317,0,aleatoria
-6.3099774112828975,-69.56491670323925,10.20125,82.30133,42.53042,44.697792,961.0,260.0,600.0,151,0,aleatoria
-12.88343463547815,-74.92921810586722,14.076833,76.85959,88.40778,74.40283,420.0,40.0,420.0,4463,0,aleatoria
-10.951988852540012,-73.23206405295977,10.70525,82.85797,58.187435,51.25409,670.0,159.0,548.0,320,0,aleatoria
-4.44240571345304,-79.07419469232161,10.136583,84.16992,33.906265,32.515915,471.0,214.0,278.0,2172,0,aleatoria
-4.328126747011812,-68.50733634564666,8.951334,83.0134,37.377007,28.58472,849.0,405.0,580.0,125,0,aleatoria
-3.8494152695087465,-74.82926894725088,10.0695,83.28785,47.822083,10.068465,731.0,572.0,668.0,132,0,aleatoria
-10.964599971186178,-74.97932207800636,11.90475,82.50001,60.393776,43.991165,709.0,212.0,552.0,927,0,aleatoria
-3.2985705150115123,-68.98650707316986,8.730917,84.258995,37.8398,19.185616,861.0,522.0,621.0,70,0,aleatoria
-10.081997387454068,-77.40773127192972,14.263833,79.380226,107.23014,87.92386,342.0,9.0,342.0,4322,0,aleatoria
-10.09873898148409,-76.45802200496448,13.852,80.66151,72.18564,53.27071,450.0,85.0,407.0,4114,0,aleatoria
-3.919921342358549,-73.1119483804967,9.63625,85.1334,42.056446,23.951637,821.0,452.0,716.0,118,0,aleatoria
-5.007109443171771,-68.63845361090291,9.224167,82.03635,38.867153,35.85119,950.0,360.0,624.0,138,0,aleatoria
-7.909565150266978,-69.48737916078494,11.08325,80.42413,59.508972,52.405266,884.0,180.0,732.0,182,0,aleatoria
-3.35163666201788,-78.83654463521293,9.758917,80.73895,59.76039,22.657896,320.0,192.0,210.0,3011,0,aleatoria
-3.3871724781285266,-75.15660007300697,10.034583,84.15451,52.83523,10.278569,756.0,611.0,663.0,146,0,aleatoria
-0.9827935119336324,-69.3236577484366,8.873,86.12889,43.30256,16.06756,958.0,658.0,759.0,150,0,aleatoria
-14.801016796346058,-68.7741778066173,11.877334,75.97603,102.44719,62.287975,583.0,101.0,368.0,2162,0,aleatoria
-6.55207415958334,-80.10157135044481,10.119416,59.765038,259.94055,170.56058,22.0,0.0,22.0,4,0,aleatoria
-4.502631586250464,-70.75406937570934,8.58425,80.69421,42.272152,21.425411,804.0,472.0,616.0,120,0,aleatoria
-16.395006977152914,-70.29498270205163,16.438084,70.90883,174.75264,108.47126,421.0,11.0,382.0,4524,0,aleatoria
-1.0130138880109811,-77.65261307245888,9.489917,88.7987,44.00647,20.852245,1349.0,797.0,958.0,435,0,aleatoria
-4.371542880481499,-73.69059314260302,9.864166,84.014694,42.119637,20.54003,722.0,437.0,665.0,150,0,aleatoria
-8.073975607472324,-77.76612045721173,13.689917,84.32348,55.011063,60.067272,448.0,66.0,368.0,3924,0,aleatoria
-13.169253946160277,-71.54922271202813,13.542251,72.70616,120.30296,65.34349,260.0,44.0,157.0,3275,0,aleatoria
-14.387488971481044,-72.10797284245913,16.658833,72.341644,144.14392,93.45568,544.0,21.0,250.0,3648,0,aleatoria
-10.15397058990229,-69.98285666890195,11.17125,74.89944,79.05396,59.04727,721.0,102.0,627.0,275,0,aleatoria
-9.18547262871498,-73.29624722794193,10.602917,80.79644,53.223217,49.428318,637.0,150.0,552.0,263,0,aleatoria
-8.685746529856631,-77.95632728945345,13.106417,89.29293,43.63815,88.32118,168.0,6.0,168.0,1874,0,buffer
-8.17389276935645,-75.40271726382001,11.269082,89.650635,19.877562,33.54727,919.0,389.0,850.0,332,0,buffer
-11.56362890930118,-73.98440289197973,11.772083,82.68654,59.78109,49.557938,737.0,184.0,534.0,1336,0,buffer
-9.082138216498407,-75.34504263644298,11.39925,89.73667,19.161636,41.069675,1547.0,494.0,1207.0,286,0,buffer
-9.37748077526098,-76.90335936476274,13.676084,80.61352,78.74516,59.037746,400.0,58.0,323.0,4232,0,buffer
-10.862964954076588,-76.42741670873883,13.910666,80.38525,90.98266,64.03757,422.0,50.0,422.0,4465,0,buffer
-8.329700073271283,-78.17340194002703,14.329833,84.75179,58.061436,69.72088,250.0,18.0,205.0,3721,0,buffer
-8.124993062482252,-77.39597940184892,13.078,84.10831,44.23958,61.89348,387.0,54.0,322.0,3523,0,buffer
-8.62612619262978,-77.47136063231183,13.42875,84.60121,27.26225,65.55597,277.0,29.0,212.0,3265,0,buffer
-9.968256984182892,-74.57242343415152,11.506833,83.68606,45.72772,46.10298,729.0,203.0,527.0,700,0,buffer
-11.434995315231903,-74.23021065144496,11.044666,82.65111,62.109207,48.436726,639.0,178.0,477.0,800,0,buffer
-9.06669376961997,-78.59492181213248,7.8050003,58.79674,199.54927,53.257523,6.0,0.0,5.0,105,0,buffer
-8.447727793987257,-75.63356633771185,11.476417,90.23759,16.927483,37.033318,1240.0,471.0,1008.0,281,0,buffer
-12.74383969982322,-76.58641267707294,7.6441884,52.94917,264.7182,92.2611,39.0,2.0,4.0,77,0,buffer
-8.415965254248771,-77.73292349733954,13.346916,82.29693,73.51654,60.38937,398.0,56.0,344.0,4114,0,buffer
-9.912555330732992,-75.41242313034176,11.120584,87.577446,35.39768,42.40868,934.0,304.0,700.0,385,0,buffer
-8.309543919065083,-77.79021446085706,13.558833,83.23409,72.15422,60.435898,412.0,57.0,355.0,4157,0,buffer
-11.885652110207133,-73.54748661420336,12.688084,82.3848,63.46632,50.798782,658.0,161.0,377.0,2201,0,buffer
-8.220114498917841,-76.00929604424708,12.025583,86.77093,38.280685,34.279255,615.0,249.0,475.0,1625,0,buffer
-12.231569444458362,-76.67653150478952,9.794583,65.1149,204.82831,138.30138,43.0,0.0,43.0,1110,0,buffer
-10.623114117199012,-77.21926562542492,12.761833,80.09184,92.73643,114.37584,343.0,4.0,343.0,3285,0,buffer
-7.96971879835152,-77.75024293667056,13.583583,84.2654,55.097076,60.3132,466.0,68.0,388.0,3878,0,buffer
-12.770299182225092,-76.54820210677819,8.408043,55.05914,267.2619,97.47841,42.0,2.0,4.0,88,0,buffer
-10.762548481421623,-77.31933090009925,11.749583,78.89863,108.983376,147.88693,205.0,0.0,205.0,2213,0,buffer
-8.333872031868996,-74.78061443742122,11.27425,85.71617,37.806034,36.20889,630.0,239.0,564.0,166,0,buffer
-8.503736786159127,-74.43057046272526,10.760167,83.463905,47.292625,39.962,587.0,195.0,516.0,153,0,buffer
-8.224975380470479,-77.92128191453007,13.8125,87.426414,24.381222,80.83924,243.0,12.0,132.0,2787,0,buffer
-12.730509230003122,-73.96027782426648,12.379416,82.938614,57.127415,56.73727,435.0,93.0,265.0,2613,0,buffer
-8.402161382737722,-75.77355078950293,11.88,88.110954,29.806242,32.49495,927.0,405.0,697.0,1002,0,buffer
-14.541817185397983,-75.48965993695865,10.973166,61.159107,259.0213,36.181362,3.0,0.0,3.0,372,0,ambiental
-13.998414403011797,-76.01459987137179,10.04025,59.112453,267.0665,26.646936,1.0,0.0,1.0,286,0,ambiental
-13.250779112108066,-76.17661276306549,9.496885,57.87575,271.04025,101.679504,36.0,2.0,4.0,158,0,ambiental
-9.599408392706508,-78.3381293817986,7.7354937,58.12924,203.13081,61.71304,9.0,0.0,9.0,100,0,ambiental
-16.495830616570416,-73.19106786573275,6.9333334,54.166664,210.73285,42.224712,4.0,0.0,3.0,16,0,ambiental
-6.478331199664924,-80.9022150794502,7.8995614,52.97976,274.56592,151.75739,13.0,0.0,13.0,18,0,ambiental
-6.543470038000546,-80.24827826673422,9.733594,58.481976,260.31308,176.194,20.0,0.0,20.0,-1,0,ambiental
-6.476040372654181,-80.4430917750249,9.790999,58.404915,266.78244,185.76424,22.0,0.0,22.0,1,0,ambiental
-11.188644810667045,-77.48524785708467,9.118167,54.414078,290.4379,69.08493,47.0,8.0,13.0,348,0,ambiental
-12.165446013013884,-77.08343612987643,6.041667,47.949734,249.31232,42.640144,6.0,0.0,1.0,43,0,ambiental
-11.011466764251775,-77.61401825870662,6.88105,50.4334,261.81216,41.28614,16.0,4.0,7.0,58,0,ambiental
-12.678257631988274,-76.5463387061435,8.8429165,57.317318,262.16177,77.796,25.0,2.0,8.0,446,0,ambiental
-12.079394451563696,-77.03817055973339,7.210167,52.04018,253.9563,42.224712,12.0,3.0,5.0,147,0,ambiental
-17.95623408660293,-70.83951840800947,7.90935,55.776287,234.76227,53.181602,5.0,0.0,0.0,525,0,ambiental
-11.250354909206004,-77.36726492824535,8.918667,55.58187,276.74228,50.497524,30.0,6.0,19.0,560,0,ambiental
-14.68929502867262,-75.71250303297148,9.689083,59.282204,250.884,36.181362,3.0,0.0,3.0,694,0,ambiental
-12.166805735115698,-77.03971751531022,6.4031253,48.925507,255.33253,44.94666,11.0,2.0,4.0,45,0,ambiental
-11.889908208557632,-77.23957879409978,6.5166664,49.61929,258.48563,47.531876,7.0,1.0,3.0,75,0,ambiental
-14.397230149505956,-75.74405550111238,10.646,60.994614,259.2096,36.181362,3.0,0.0,3.0,429,0,ambiental
-15.315322465866627,-75.20624925978193,7.3805556,51.26177,262.5844,0.0,0.0,0.0,0.0,97,0,ambiental
-13.995758401848214,-75.94912228691683,10.237833,60.060036,261.73032,26.646936,1.0,0.0,1.0,383,0,ambiental
-6.477121096317932,-80.34966592924964,9.853812,58.53133,264.67712,185.2593,24.0,0.0,24.0,0,0,ambiental
-13.615381604637754,-76.0395993922441,8.840167,58.582947,245.65114,50.081776,4.0,0.0,2.0,248,0,ambiental
-14.649066174220511,-75.47326748220877,10.810917,61.40124,252.69565,36.181362,3.0,0.0,3.0,522,0,ambiental
-14.918520272005733,-75.34591804456905,9.97875,59.439777,255.796,26.646936,1.0,0.0,1.0,465,0,ambiental
-17.726582877234435,-71.30040439755601,6.990714,53.023083,232.65831,53.181602,5.0,0.0,0.0,214,0,ambiental
-12.258270465015409,-76.88794498979996,8.011274,55.10858,255.93124,53.207886,19.0,3.0,5.0,28,0,ambiental
-10.786911039038769,-77.64716612906075,9.021501,57.81901,249.69432,42.750927,20.0,7.0,16.0,274,0,ambiental
-10.53179169174006,-77.90651959109641,8.893458,58.62572,236.49619,37.605072,9.0,3.0,9.0,176,0,ambiental
